date	AUS	ITA	NLD	NZL	SWE	USA
2000	7.6122	7.5804	7.0564	7.47	7.4124	12.5075
2001	7.7051	7.7689	7.4412	7.5789	8.0342	13.1745
2002	7.8957	7.893	7.9543	7.9004	8.3621	13.9595
2003	7.9019	7.8554	8.4572	7.7219	8.4639	14.4603
2004	8.1134	8.1878	8.5212	7.901	8.2614	14.5426
2005	7.9812	8.3612	9.411	8.2735	8.2774	14.5475
2006	7.9899	8.4597	9.3035	8.633	8.1611	14.6639
2007	8.0633	8.1628	9.3134	8.3213	8.0739	14.9042
2008	8.2669	8.5618	9.5324	9.1424	8.3131	15.3178
2009	8.5923	8.9765	10.2519	9.6704	8.9445	16.35
2010	8.4717	8.9536	10.4324	9.6589	8.4864	16.3918
2011	8.5897	8.8346	10.4821	9.5642	10.679	16.4139
2012	8.7435	8.842	10.8598	9.6762	10.9382	16.3771
2013	8.8356	8.7988	10.9485	9.3984	11.1014	16.3678
2014	9.012	9.0539	10.9352	9.3798	11.1819	16.5865
2015	9.2559	9.0509	10.7637	9.4083	11.0704	16.9148
